text,register
οὐδέ με Νηλεὺς εἴα θωρήσσεσθαι ἀπέκρυψεν δέ μοι ἵππους,speech
οὐ γάρ πώ τί μ’ ἔφη ἴδμεν πολεμήϊα ἔργα,speech
ἀλλὰ καὶ ὧς ἱππεῦσι μετέπρεπον ἡμετέροισι καὶ πεζός περ ἐών ἐπεὶ ὧς ἄγε νεῖκος Ἀθήνη,speech
ἔστι δέ τις ποταμὸς Μινυήϊος εἰς ἅλα βάλλων ἐγγύθεν Ἀρήνης ὅθι μείναμεν Ἠῶ δῖαν ἱππῆες Πυλίων τὰ δ’ ἐπέρρεον ἔθνεα πεζῶν,speech
ἔνθεν πανσυδίῃ σὺν τεύχεσι θωρηχθέντες ἔνδιοι ἱκόμεσθ’ ἱερὸν ῥόον Ἀλφειοῖο,speech
ἔνθα Διὶ ῥέξαντες ὑπερμενεῖ ἱερὰ καλά ταῦρον δ’ Ἀλφειῷ ταῦρον δὲ Ποσειδάωνι αὐτὰρ Ἀθηναίη γλαυκώπιδι βοῦν ἀγελαίην δόρπον ἔπειθ’ ἑλόμεσθα κατὰ στρατὸν ἐν τελέεσσι καὶ κατεκοιμήθημεν ἐν ἔντεσιν οἷσιν ἕκαστος ἀμφὶ ῥοὰς ποταμοῖο,speech
ἀτὰρ μεγάθυμοι Ἐπειοὶ ἀμφέσταν δὴ ἄστυ διαρραῖσαι μεμαῶτες,speech
ἀλλά σφι προπάροιθε φάνη μέγα ἔργον Ἄρηος,speech
εὖτε γὰρ ἠέλιος φαέθων ὑπερέσχεθε γαίης συμφερόμεσθα μάχῃ Διί τ’ εὐχόμενοι καὶ Ἀθήνῃ,speech
ἀλλ’ ὅτε δὴ Πυλίων καὶ Ἐπειῶν ἔπλετο νεῖκος πρῶτος ἐγὼν ἕλον ἄνδρα κόμισσα δὲ μώνυχας ἵππους Μούλιον αἰχμητήν,speech
γαμβρὸς δ’ ἦν Αὐγείαο πρεσβυτάτην δὲ θύγατρ’ εἶχε ξανθὴν Ἀγαμήδην ἣ τόσα φάρμακα ᾔδη ὅσα τρέφει εὐρεῖα χθών,speech
τὸν μὲν ἐγὼ προσιόντα βάλον χαλκήρεϊ δουρί ἤριπε δ’ ἐν κονίῃσιν,speech
ἐγὼ δ’ ἐς δίφρον ὀρούσας στῆν ῥα μετὰ προμάχοισιν,speech
ἀτὰρ μεγάθυμοι Ἐπειοὶ ἔτρεσαν ἄλλυδις ἄλλος ἐπεὶ ἴδον ἄνδρα πεσόντα ἡγεμόν’ ἱππήων ὃς ἀριστεύεσκε μάχεσθαι,speech
αὐτὰρ ἐγὼν ἐπόρουσα κελαινῇ λαίλαπι ἶσος πεντήκοντα δ’ ἕλον δίφρους δύο δ’ ἀμφὶς ἕκαστον φῶτες ὀδὰξ ἕλον οὖδας ἐμῷ ὑπὸ δουρὶ δαμέντες,speech
καί νύ κεν Ἀκτορίωνε Μολίονε παῖδ’ ἀλάπαξα εἰ μή σφωε πατὴρ εὐρὺ κρείων ἐνοσίχθων ἐκ πολέμου ἐσάωσε καλύψας ἠέρι πολλῇ,speech
ἔνθα Ζεὺς Πυλίοισι μέγα κράτος ἐγγυάλιξε,speech
τόφρα γὰρ οὖν ἑπόμεσθα διὰ σπιδέος πεδίοιο κτείνοντές τ’ αὐτοὺς ἀνά τ’ ἔντεα καλὰ λέγοντες ὄφρ’ ἐπὶ Βουπρασίου πολυπύρου βήσαμεν ἵππους πέτρης τ’ Ὠλενίης καὶ Ἀλησίου ἔνθα κολώνη κέκληται,speech
ὅθεν αὖτις ἀπέτραπε λαὸν Ἀθήνη,speech
ἔνθ’ ἄνδρα κτείνας πύματον λίπον,speech
αὐτὰρ Ἀχαιοὶ ἂψ ἀπὸ Βουπρασίοιο Πύλονδ’ ἔχον ὠκέας ἵππους πάντες δ’ εὐχετόωντο θεῶν Διὶ Νέστορί τ’ ἀνδρῶν,speech
ὣς ἔον εἴ ποτ’ ἔον γε μετ’ ἀνδράσιν,speech
αὐτὰρ Ἀχιλλεὺς οἶος τῆς ἀρετῆς ἀπονήσεται,speech
ἦ τέ μιν οἴω πολλὰ μετακλαύσεσθαι ἐπεί κ’ ἀπὸ λαὸς ὄληται,speech
ὦ πέπον ἦ μὲν σοί γε Μενοίτιος ὧδ’ ἐπέτελλεν ἤματι τῷ ὅτε σ’ ἐκ Φθίης Ἀγαμέμνονι πέμπε νῶϊ δέ τ’ ἔνδον ἐόντες ἐγὼ καὶ δῖος Ὀδυσσεὺς πάντα μάλ’ ἐν μεγάροις ἠκούομεν ὡς ἐπέτελλε,speech
Πηλῆος δ’ ἱκόμεσθα δόμους εὖ ναιετάοντας λαὸν ἀγείροντες κατ’ Ἀχαιΐδα πουλυβότειραν,speech
ἔνθα δ’ ἔπειθ’ ἥρωα Μενοίτιον εὕρομεν ἔνδον ἠδὲ σέ πὰρ δ’ Ἀχιλῆα,speech
γέρων δ’ ἱππηλάτα Πηλεὺς πίονα μηρία καῖε βοὸς Διὶ τερπικεραύνῳ αὐλῆς ἐν χόρτῳ,speech
ἔχε δὲ χρύσειον ἄλεισον σπένδων αἴθοπα οἶνον ἐπ’ αἰθομένοις ἱεροῖσι,speech
σφῶϊ μὲν ἀμφὶ βοὸς ἕπετον κρέα νῶϊ δ’ ἔπειτα στῆμεν ἐνὶ προθύροισι,speech
ταφὼν δ’ ἀνόρουσεν Ἀχιλλεύς ἐς δ’ ἄγε χειρὸς ἑλών κατὰ δ’ ἑδριάασθαι ἄνωγε ξείνιά τ’ εὖ παρέθηκεν ἅ τε ξείνοις θέμις ἐστίν,speech
αὐτὰρ ἐπεὶ τάρπημεν ἐδητύος ἠδὲ ποτῆτος ἦρχον ἐγὼ μύθοιο κελεύων ὔμμ’ ἅμ’ ἕπεσθαι,speech
σφὼ δὲ μάλ’ ἠθέλετον τὼ δ’ ἄμφω πόλλ’ ἐπέτελλον,speech
Πηλεὺς μὲν ᾧ παιδὶ γέρων ἐπέτελλ’ Ἀχιλῆϊ αἰὲν ἀριστεύειν καὶ ὑπείροχον ἔμμεναι ἄλλων,speech
σοὶ δ’ αὖθ’ ὧδ’ ἐπέτελλε Μενοίτιος Ἄκτορος υἱός,speech
τέκνον ἐμὸν γενεῇ μὲν ὑπέρτερός ἐστιν Ἀχιλλεύς πρεσβύτερος δὲ σύ ἐσσι,speech
βίῃ δ’ ὅ γε πολλὸν ἀμείνων,speech
ἀλλ’ εὖ οἱ φάσθαι πυκινὸν ἔπος ἠδ’ ὑποθέσθαι καί οἱ σημαίνειν,speech
ὃ δὲ πείσεται εἰς ἀγαθόν περ,speech
ὣς ἐπέτελλ’ ὃ γέρων σὺ δὲ λήθεαι,speech
ἀλλ’ ἔτι καὶ νῦν ταῦτ’ εἴποις Ἀχιλῆϊ δαΐφρονι αἴ κε πίθηται,speech
τίς δ’ οἶδ’ εἴ κέν οἱ σὺν δαίμονι θυμὸν ὀρίναις παρειπών,speech
ἀγαθὴ δὲ παραίφασίς ἐστιν ἑταίρου,speech
εἰ δέ τινα φρεσὶν ᾗσι θεοπροπίην ἀλεείνει καί τινά οἱ πὰρ Ζηνὸς ἐπέφραδε πότνια μήτηρ ἀλλὰ σέ περ προέτω ἅμα δ’ ἄλλος λαὸς ἑπέσθω Μυρμιδόνων αἴ κέν τι φόως Δαναοῖσι γένηαι,speech
καί τοι τεύχεα καλὰ δότω πόλεμον δὲ φέρεσθαι αἴ κέ σε τῷ εἴσκοντες ἀπόσχωνται πολέμοιο Τρῶες ἀναπνεύσωσι δ’ ἀρήϊοι υἷες Ἀχαιῶν τειρόμενοι,speech
ὀλίγη δέ τ’ ἀνάπνευσις πολέμοιο,speech
ῥεῖα δέ κ’ ἀκμῆτες κεκμηότας ἄνδρας ἀϋτῇ ὤσαισθε προτὶ ἄστυ νεῶν ἄπο καὶ κλισιάων,speech
Ἀλκίνοε κρεῖον πάντων ἀριδείκετε λαῶν ἦ τοι μὲν τόδε καλὸν ἀκουέμεν ἐστὶν ἀοιδοῦ τοιοῦδ’ οἷος ὅδ’ ἐστί θεοῖς ἐναλίγκιος αὐδήν,speech
οὐ γὰρ ἐγώ γέ τί φημι τέλος χαριέστερον εἶναι ἢ ὅτ’ ἐυφροσύνη μὲν ἔχῃ κάτα δῆμον ἅπαντα δαιτυμόνες δ’ ἀνὰ δώματ’ ἀκουάζωνται ἀοιδοῦ ἥμενοι ἑξείης παρὰ δὲ πλήθωσι τράπεζαι σίτου καὶ κρειῶν μέθυ δ’ ἐκ κρητῆρος ἀφύσσων οἰνοχόος φορέῃσι καὶ ἐγχείῃ δεπάεσσι,speech
τοῦτό τί μοι κάλλιστον ἐνὶ φρεσὶν εἴδεται εἶναι,speech
σοὶ δ’ ἐμὰ κήδεα θυμὸς ἐπετράπετο στονόεντα εἴρεσθ’ ὄφρ’ ἔτι μᾶλλον ὀδυρόμενος στεναχίζω,speech
τί πρῶτόν τοι ἔπειτα τί δ’ ὑστάτιον καταλέξω,speech
κήδε’ ἐπεί μοι πολλὰ δόσαν θεοὶ Οὐρανίωνες,speech
νῦν δ’ ὄνομα πρῶτον μυθήσομαι ὄφρα καὶ ὑμεῖς εἴδετ’ ἐγὼ δ’ ἂν ἔπειτα φυγὼν ὕπο νηλεὲς ἦμαρ ὑμῖν ξεῖνος ἔω καὶ ἀπόπροθι δώματα ναίων,speech
εἴμ’ Ὀδυσεὺς Λαερτιάδης ὃς πᾶσι δόλοισιν ἀνθρώποισι μέλω καί μευ κλέος οὐρανὸν ἵκει,speech
ναιετάω δ’ Ἰθάκην ἐυδείελον,speech
ἐν δ’ ὄρος αὐτῇ Νήριτον εἰνοσίφυλλον ἀριπρεπές,speech
ἀμφὶ δὲ νῆσοι πολλαὶ ναιετάουσι μάλα σχεδὸν ἀλλήλῃσι Δουλίχιόν τε Σάμη τε καὶ ὑλήεσσα Ζάκυνθος,speech
αὐτὴ δὲ χθαμαλὴ πανυπερτάτη εἰν ἁλὶ κεῖται πρὸς ζόφον αἱ δέ τ’ ἄνευθε πρὸς ἠῶ τ’ ἠέλιόν τε τρηχεῖ’ ἀλλ’ ἀγαθὴ κουροτρόφος,speech
οὔ τοι ἐγώ γε ἧς γαίης δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι,speech
ἦ μέν μ’ αὐτόθ’ ἔρυκε Καλυψώ δῖα θεάων ἐν σπέσσι γλαφυροῖσι λιλαιομένη πόσιν εἶναι,speech
ὣς δ’ αὔτως Κίρκη κατερήτυεν ἐν μεγάροισιν Αἰαίη δολόεσσα λιλαιομένη πόσιν εἶναι,speech
ἀλλ’ ἐμὸν οὔ ποτε θυμὸν ἐνὶ στήθεσσιν ἔπειθον,speech
ὣς οὐδὲν γλύκιον ἧς πατρίδος οὐδὲ τοκήων γίγνεται εἴ περ καί τις ἀπόπροθι πίονα οἶκον γαίῃ ἐν ἀλλοδαπῇ ναίει ἀπάνευθε τοκήων,speech
εἰ δ’ ἄγε τοι καὶ νόστον ἐμὸν πολυκηδέ’ ἐνίσπω ὅν μοι Ζεὺς ἐφέηκεν ἀπὸ Τροίηθεν ἰόντι,speech
Ἰλιόθεν με φέρων ἄνεμος Κικόνεσσι πέλασσεν Ἰσμάρῳ,speech
ἔνθα δ’ ἐγὼ πόλιν ἔπραθον ὤλεσα δ’ αὐτούς,speech
ἐκ πόλιος δ’ ἀλόχους καὶ κτήματα πολλὰ λαβόντες δασσάμεθ’ ὡς μή τίς μοι ἀτεμβόμενος κίοι ἴσης,speech
ἔνθ’ ἦ τοι μὲν ἐγὼ διερῷ ποδὶ φευγέμεν ἡμέας ἠνώγεα τοὶ δὲ μέγα νήπιοι οὐκ ἐπίθοντο,speech
ἔνθα δὲ πολλὸν μὲν μέθυ πίνετο πολλὰ δὲ μῆλα ἔσφαζον παρὰ θῖνα καὶ εἰλίποδας ἕλικας βοῦς,speech
τόφρα δ’ ἄρ’ οἰχόμενοι Κίκονες Κικόνεσσι γεγώνευν οἵ σφιν γείτονες ἦσαν ἅμα πλέονες καὶ ἀρείους ἤπειρον ναίοντες ἐπιστάμενοι μὲν ἀφ’ ἵππων ἀνδράσι μάρνασθαι καὶ ὅθι χρὴ πεζὸν ἐόντα,speech
ἦλθον ἔπειθ’ ὅσα φύλλα καὶ ἄνθεα γίγνεται ὥρῃ ἠέριοι,speech
τότε δή ῥα κακὴ Διὸς αἶσα παρέστη ἡμῖν αἰνομόροισιν ἵν’ ἄλγεα πολλὰ πάθοιμεν,speech
στησάμενοι δ’ ἐμάχοντο μάχην παρὰ νηυσὶ θοῇσι βάλλον δ’ ἀλλήλους χαλκήρεσιν ἐγχείῃσιν,speech
ὄφρα μὲν ἠὼς ἦν καὶ ἀέξετο ἱερὸν ἦμαρ τόφρα δ’ ἀλεξόμενοι μένομεν πλέονάς περ ἐόντας,speech
ἦμος δ’ ἠέλιος μετενίσσετο βουλυτόνδε καὶ τότε δὴ Κίκονες κλῖναν δαμάσαντες Ἀχαιούς,speech
ἓξ δ’ ἀφ’ ἑκάστης νηὸς ἐυκνήμιδες ἑταῖροι ὤλονθ’,speech
οἱ δ’ ἄλλοι φύγομεν θάνατόν τε μόρον τε,speech
ἔνθεν δὲ προτέρω πλέομεν ἀκαχήμενοι ἦτορ ἄσμενοι ἐκ θανάτοιο φίλους ὀλέσαντες ἑταίρους,speech
οὐδ’ ἄρα μοι προτέρω νῆες κίον ἀμφιέλισσαι πρίν τινα τῶν δειλῶν ἑτάρων τρὶς ἕκαστον ἀῦσαι οἳ θάνον ἐν πεδίῳ Κικόνων ὕπο δῃωθέντες,speech
νηυσὶ δ’ ἐπῶρσ’ ἄνεμον Βορέην νεφεληγερέτα Ζεὺς λαίλαπι θεσπεσίῃ σὺν δὲ νεφέεσσι κάλυψε γαῖαν ὁμοῦ καὶ πόντον,speech
ὀρώρει δ’ οὐρανόθεν νύξ,speech
αἱ μὲν ἔπειτ’ ἐφέροντ’ ἐπικάρσιαι ἱστία δέ σφιν τριχθά τε καὶ τετραχθὰ διέσχισεν ἲς ἀνέμοιο,speech
καὶ τὰ μὲν ἐς νῆας κάθεμεν δείσαντες ὄλεθρον αὐτὰς δ’ ἐσσυμένως προερέσσαμεν ἤπειρόνδε,speech
ἔνθα δύω νύκτας δύο τ’ ἤματα συνεχὲς αἰεὶ κείμεθ’ ὁμοῦ καμάτῳ τε καὶ ἄλγεσι θυμὸν ἔδοντες,speech
ἀλλ’ ὅτε δὴ τρίτον ἦμαρ ἐυπλόκαμος τέλεσ’ Ἠώς ἱστοὺς στησάμενοι ἀνά θ’ ἱστία λεύκ’ ἐρύσαντες ἥμεθα τὰς δ’ ἄνεμός τε κυβερνῆταί τ’ ἴθυνον,speech
καί νύ κεν ἀσκηθὴς ἱκόμην ἐς πατρίδα γαῖαν,speech
ἀλλά με κῦμα ῥόος τε περιγνάμπτοντα Μάλειαν καὶ Βορέης ἀπέωσε παρέπλαγξεν δὲ Κυθήρων,speech
ἔνθεν δ’ ἐννῆμαρ φερόμην ὀλοοῖς ἀνέμοισιν πόντον ἐπ’ ἰχθυόεντα,speech
ἀτὰρ δεκάτῃ ἐπέβημεν γαίης Λωτοφάγων οἵ τ’ ἄνθινον εἶδαρ ἔδουσιν,speech
ἔνθα δ’ ἐπ’ ἠπείρου βῆμεν καὶ ἀφυσσάμεθ’ ὕδωρ αἶψα δὲ δεῖπνον ἕλοντο θοῇς παρὰ νηυσὶν ἑταῖροι,speech
αὐτὰρ ἐπεὶ σίτοιό τ’ ἐπασσάμεθ’ ἠδὲ ποτῆτος δὴ τοτ’ ἐγὼν ἑτάρους προΐειν πεύθεσθαι ἰόντας οἵ τινες ἀνέρες εἶεν ἐπὶ χθονὶ σῖτον ἔδοντες ἄνδρε δύω κρίνας τρίτατον κήρυχ’ ἅμ’ ὀπάσσας,speech
οἱ δ’ αἶψ’ οἰχόμενοι μίγεν ἀνδράσι Λωτοφάγοισιν,speech
οὐδ’ ἄρα Λωτοφάγοι μήδονθ’ ἑτάροισιν ὄλεθρον ἡμετέροις ἀλλά σφι δόσαν λωτοῖο πάσασθαι,speech
τῶν δ’ ὅς τις λωτοῖο φάγοι μελιηδέα καρπόν οὐκέτ’ ἀπαγγεῖλαι πάλιν ἤθελεν οὐδὲ νέεσθαι ἀλλ’ αὐτοῦ βούλοντο μετ’ ἀνδράσι Λωτοφάγοισι λωτὸν ἐρεπτόμενοι μενέμεν νόστου τε λαθέσθαι,speech
τοὺς μὲν ἐγὼν ἐπὶ νῆας ἄγον κλαίοντας ἀνάγκῃ νηυσὶ δ’ ἐνὶ γλαφυρῇσιν ὑπὸ ζυγὰ δῆσα ἐρύσσας,speech
αὐτὰρ τοὺς ἄλλους κελόμην ἐρίηρας ἑταίρους σπερχομένους νηῶν ἐπιβαινέμεν ὠκειάων μή πώς τις λωτοῖο φαγὼν νόστοιο λάθηται,speech
οἱ δ’ αἶψ’ εἴσβαινον καὶ ἐπὶ κληῖσι καθῖζον ἑξῆς δ’ ἑζόμενοι πολιὴν ἅλα τύπτον ἐρετμοῖς,speech
ἔνθεν δὲ προτέρω πλέομεν ἀκαχήμενοι ἦτορ,speech
Κυκλώπων δ’ ἐς γαῖαν ὑπερφιάλων ἀθεμίστων ἱκόμεθ’ οἵ ῥα θεοῖσι πεποιθότες ἀθανάτοισιν οὔτε φυτεύουσιν χερσὶν φυτὸν οὔτ’ ἀρόωσιν ἀλλὰ τά γ’ ἄσπαρτα καὶ ἀνήροτα πάντα φύονται πυροὶ καὶ κριθαὶ ἠδ’ ἄμπελοι αἵ τε φέρουσιν οἶνον ἐριστάφυλον καί σφιν Διὸς ὄμβρος ἀέξει,speech
τοῖσιν δ’ οὔτ’ ἀγοραὶ βουληφόροι οὔτε θέμιστες ἀλλ’ οἵ γ’ ὑψηλῶν ὀρέων ναίουσι κάρηνα ἐν σπέσσι γλαφυροῖσι θεμιστεύει δὲ ἕκαστος παίδων ἠδ’ ἀλόχων οὐδ’ ἀλλήλων ἀλέγουσιν,speech
νῆσος ἔπειτα λάχεια παρὲκ λιμένος τετάνυσται γαίης Κυκλώπων οὔ τε σχεδὸν οὔ τ’ ἀποτηλοῦ ὑλήεσσ’,speech
ἐν δ’ αἶγες ἀπειρέσιαι γεγάασιν ἄγριαι,speech
οὐ μὲν γὰρ πάτος ἀνθρώπων ἀπερύκει οὐδέ μιν εἰσοιχνεῦσι κυνηγέται οἵ τε καθ’ ὕλην ἄλγεα πάσχουσιν κορυφὰς ὀρέων ἐφέποντες,speech
οὔτ’ ἄρα ποίμνῃσιν καταΐσχεται οὔτ’ ἀρότοισιν ἀλλ’ ἥ γ’ ἄσπαρτος καὶ ἀνήροτος ἤματα πάντα ἀνδρῶν χηρεύει βόσκει δέ τε μηκάδας αἶγας,speech
οὐ γὰρ Κυκλώπεσσι νέες πάρα μιλτοπάρῃοι οὐδ’ ἄνδρες νηῶν ἔνι τέκτονες οἵ κε κάμοιεν νῆας ἐυσσέλμους αἵ κεν τελέοιεν ἕκαστα ἄστε’ ἐπ’ ἀνθρώπων ἱκνεύμεναι οἷά τε πολλὰ ἄνδρες ἐπ’ ἀλλήλους νηυσὶν περόωσι θάλασσαν,speech
οἵ κέ σφιν καὶ νῆσον ἐυκτιμένην ἐκάμοντο,speech
οὐ μὲν γάρ τι κακή γε φέροι δέ κεν ὥρια πάντα,speech
ἐν μὲν γὰρ λειμῶνες ἁλὸς πολιοῖο παρ’ ὄχθας ὑδρηλοὶ μαλακοί,speech
μάλα κ’ ἄφθιτοι ἄμπελοι εἶεν,speech
ἐν δ’ ἄροσις λείη,speech
μάλα κεν βαθὺ λήιον αἰεὶ εἰς ὥρας ἀμῷεν ἐπεὶ μάλα πῖαρ ὑπ’ οὖδας,speech
ἐν δὲ λιμὴν ἐύορμος ἵν’ οὐ χρεὼ πείσματός ἐστιν οὔτ’ εὐνὰς βαλέειν οὔτε πρυμνήσι’ ἀνάψαι ἀλλ’ ἐπικέλσαντας μεῖναι χρόνον εἰς ὅ κε ναυτέων θυμὸς ἐποτρύνῃ καὶ ἐπιπνεύσωσιν ἀῆται,speech
αὐτὰρ ἐπὶ κρατὸς λιμένος ῥέει ἀγλαὸν ὕδωρ κρήνη ὑπὸ σπείους,speech
περὶ δ’ αἴγειροι πεφύασιν,speech
ἔνθα κατεπλέομεν καί τις θεὸς ἡγεμόνευεν νύκτα δι’ ὀρφναίην οὐδὲ προυφαίνετ’ ἰδέσθαι,speech
ἀὴρ γὰρ περὶ νηυσὶ βαθεῖ’ ἦν οὐδὲ σελήνη οὐρανόθεν προύφαινε κατείχετο δὲ νεφέεσσιν,speech
ἔνθ’ οὔ τις τὴν νῆσον ἐσέδρακεν ὀφθαλμοῖσιν οὔτ’ οὖν κύματα μακρὰ κυλινδόμενα προτὶ χέρσον εἰσίδομεν πρὶν νῆας ἐυσσέλμους ἐπικέλσαι,speech
κελσάσῃσι δὲ νηυσὶ καθείλομεν ἱστία πάντα ἐκ δὲ καὶ αὐτοὶ βῆμεν ἐπὶ ῥηγμῖνι θαλάσσης,speech
ἔνθα δ’ ἀποβρίξαντες ἐμείναμεν Ἠῶ δῖαν,speech
ἦμος δ’ ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς νῆσον θαυμάζοντες ἐδινεόμεσθα κατ’ αὐτήν,speech
ὦρσαν δὲ νύμφαι κοῦραι Διὸς αἰγιόχοιο αἶγας ὀρεσκῴους ἵνα δειπνήσειαν ἑταῖροι,speech
αὐτίκα καμπύλα τόξα καὶ αἰγανέας δολιχαύλους εἱλόμεθ’ ἐκ νηῶν διὰ δὲ τρίχα κοσμηθέντες βάλλομεν,speech
αἶψα δ’ ἔδωκε θεὸς μενοεικέα θήρην,speech
νῆες μέν μοι ἕποντο δυώδεκα ἐς δὲ ἑκάστην ἐννέα λάγχανον αἶγες,speech
ἐμοὶ δὲ δέκ’ ἔξελον οἴῳ,speech
ὣς τότε μὲν πρόπαν ἦμαρ ἐς ἠέλιον καταδύντα ἥμεθα δαινύμενοι κρέα τ’ ἄσπετα καὶ μέθυ ἡδύ,speech
οὐ γάρ πω νηῶν ἐξέφθιτο οἶνος ἐρυθρός ἀλλ’ ἐνέην,speech
πολλὸν γὰρ ἐν ἀμφιφορεῦσιν ἕκαστοι ἠφύσαμεν Κικόνων,speech
